01.04.2025;Auftraggeber: Saru Spiner Zahlungsreferenz: Akira Spiner Pfingstl2025 IBAN Auftraggeber: AT695911316232418020 BIC Auftraggeber: WLJLTL9ZDUC;01.04.2025;97,00;EUR;01.04.2025 03:07:28:363
02.04.2025;ONLINE BANKING VOM 02.04 UM 15:34 Empfänger: Homer Bester Zahlungsreferenz: BUPFI25 5 Graz12 IBAN Empfänger: AT561608326358146625 BIC Empfänger: ZPILNKLBHIM;02.04.2025;-473,00;EUR;02.04.2025 15:34:10:099
02.04.2025;ONLINE BANKING VOM 02.04 UM 15:35 Empfänger: Homer Bester Zahlungsreferenz: LUNT2025 Graz 12 IBAN Empfänger: AT561938153491947690 BIC Empfänger: SNLDBD0FVWE;02.04.2025;-340,00;EUR;02.04.2025 15:35:39:659
02.04.2025;ONLINE BANKING VOM 02.04 UM 15:41 Empfänger: Homer Bester Verwendungszweck: Stephen Carlson Für die Seele 2025 Graz 12 IBAN Empfänger: AT561938153491947690 BIC Empfänger: SNLDBD0FVWE;02.04.2025;-360,00;EUR;02.04.2025 15:41:56:655
03.04.2025;Auftraggeber: Seven Ferengi Zahlungsreferenz: Wiggum TaLon Auftraggeber: AT413858992957142826 BIC Auftraggeber: JDRORJ8G264;02.04.2025;10,00;EUR;02.04.2025 20:36:06:773
04.04.2025;Zahlungsempfänger: Energie Steiermark Leonard Kosh Verwendungszweck: Travis Moody.Nr. 24617784 E Stmk.Leonard Kosh USt 20% 32,67 IBAN Zahlungsempfänger: AT479329170656264317 BIC Zahlungsempfänger: SNLDBD0FVWE Empfänger-Kennung: AT479329170656264317 Auftraggeberreferenz: 400191899001 Mandat: 1476508, 01.02.2018;04.04.2025;-196,00;EUR;04.04.2025 00:58:52:237
04.04.2025;Auftraggeber: Ivanova Scotty Verwendungszweck: LaSp25 Zingerle-Kronman, Remus Crusher Auftraggeber: DE75144960918354819018 BIC Auftraggeber: QCREIUA8125;04.04.2025;25,00;EUR;04.04.2025 09:06:04:014
07.04.2025;Auftraggeber: Han Drakh Zahlungsreferenz: Yoda Noonian, Wiwo, SoLa 2025 IBAN Auftraggeber: AT598687172800383017 BIC Auftraggeber: OEVMLFGECFI;07.04.2025;71,00;EUR;07.04.2025 00:49:14:385
07.04.2025;Auftraggeber: Han Drakh Zahlungsreferenz: Sabine Lovegood, Wiwo, LaSp 2025 IBAN Auftraggeber: AT598687172800383017 BIC Auftraggeber: OEVMLFGECFI;07.04.2025;25,00;EUR;07.04.2025 00:49:15:696
07.04.2025;Auftraggeber: Han Drakh Zahlungsreferenz: Sabine Lovegood, Wiwo, SoLa 2025 IBAN Auftraggeber: AT598687172800383017 BIC Auftraggeber: OEVMLFGECFI;07.04.2025;150,00;EUR;07.04.2025 00:49:15:699
